,Date,Open,High,Low,Close,Volume
0,2025-06-20 09:15:00,384.2,386.35,384.2,386.2,64092
1,2025-06-20 09:16:00,385.95,385.95,385.15,385.65,18472
2,2025-06-20 09:17:00,385.65,386.45,385.65,386.4,8250
3,2025-06-20 09:18:00,386.4,386.55,386.0,386.35,12722
4,2025-06-20 09:19:00,386.3,386.5,385.5,385.75,34831
5,2025-06-20 09:20:00,385.75,386.2,385.55,385.8,7398
6,2025-06-20 09:21:00,385.85,385.95,384.55,384.75,41510
7,2025-06-20 09:22:00,384.7,385.15,384.4,384.4,15474
8,2025-06-20 09:23:00,384.45,384.75,384.3,384.35,6451
9,2025-06-20 09:24:00,384.25,385.2,384.15,385.2,10225
10,2025-06-20 09:25:00,384.95,385.65,384.95,385.35,6007
11,2025-06-20 09:26:00,385.2,385.35,384.6,384.8,6509
12,2025-06-20 09:27:00,384.75,385.2,384.55,385.1,4008
13,2025-06-20 09:28:00,385.3,385.5,385.05,385.5,2251
14,2025-06-20 09:29:00,385.25,385.7,385.1,385.45,20323
15,2025-06-20 09:30:00,385.55,386.0,385.55,385.7,5096
16,2025-06-20 09:31:00,385.9,386.0,385.6,386.0,6214
17,2025-06-20 09:32:00,386.0,386.45,385.9,386.15,16759
18,2025-06-20 09:33:00,386.1,386.2,385.7,386.0,6010
19,2025-06-20 09:34:00,386.0,386.25,385.9,386.25,14574
20,2025-06-20 09:35:00,386.1,386.3,385.9,386.3,19483
21,2025-06-20 09:36:00,386.1,386.45,386.1,386.25,4466
22,2025-06-20 09:37:00,386.1,386.75,386.1,386.7,8160
23,2025-06-20 09:38:00,386.75,386.8,386.55,386.75,9024
24,2025-06-20 09:39:00,386.7,386.75,386.4,386.55,10390
25,2025-06-20 09:40:00,386.55,386.55,386.1,386.5,7629
26,2025-06-20 09:41:00,386.5,386.95,386.5,386.8,4415
27,2025-06-20 09:42:00,386.8,387.2,386.8,387.2,11828
28,2025-06-20 09:43:00,387.0,387.2,386.95,387.15,6098
29,2025-06-20 09:44:00,387.15,387.9,386.95,387.8,26689
30,2025-06-20 09:45:00,387.9,388.75,387.9,388.45,31161
31,2025-06-20 09:46:00,388.45,388.9,388.2,388.5,14448
32,2025-06-20 09:47:00,388.7,389.15,388.55,389.0,23731
33,2025-06-20 09:48:00,389.0,389.0,388.45,388.5,18493
34,2025-06-20 09:49:00,388.5,388.65,388.45,388.65,11514
35,2025-06-20 09:50:00,388.5,388.85,388.45,388.7,10525
36,2025-06-20 09:51:00,388.55,388.7,388.1,388.25,8325
37,2025-06-20 09:52:00,388.2,388.45,388.1,388.15,9969
38,2025-06-20 09:53:00,388.15,388.15,387.7,387.9,21088
39,2025-06-20 09:54:00,387.9,388.65,387.75,388.5,17982
40,2025-06-20 09:55:00,388.5,388.7,388.35,388.5,8654
41,2025-06-20 09:56:00,388.45,388.45,387.65,387.85,12436
42,2025-06-20 09:57:00,387.85,388.0,387.0,387.15,34024
43,2025-06-20 09:58:00,387.15,387.15,386.7,386.85,16429
44,2025-06-20 09:59:00,386.85,387.35,386.85,387.25,7870
45,2025-06-20 10:00:00,387.25,387.95,387.1,387.7,10548
46,2025-06-20 10:01:00,387.7,387.75,387.3,387.4,7036
47,2025-06-20 10:02:00,387.4,387.75,387.15,387.75,4919
48,2025-06-20 10:03:00,387.7,387.9,387.5,387.75,2311
49,2025-06-20 10:04:00,387.65,387.75,387.5,387.5,1800
50,2025-06-20 10:05:00,387.5,389.3,387.5,387.95,143303
51,2025-06-20 10:06:00,387.95,388.5,387.8,388.1,2956
52,2025-06-20 10:07:00,388.1,388.1,387.75,387.8,3125
53,2025-06-20 10:08:00,387.7,388.0,387.5,388.0,4493
54,2025-06-20 10:09:00,388.0,388.0,387.75,387.85,1951
55,2025-06-20 10:10:00,387.95,387.95,387.6,387.95,761
56,2025-06-20 10:11:00,387.8,388.35,387.8,388.35,4606
57,2025-06-20 10:12:00,388.35,388.9,388.3,388.7,14329
58,2025-06-20 10:13:00,388.75,388.8,388.6,388.75,1922
59,2025-06-20 10:14:00,388.6,389.2,388.6,389.0,23277
60,2025-06-20 10:15:00,389.0,389.5,388.9,389.5,8767
61,2025-06-20 10:16:00,389.4,389.5,389.0,389.2,8787
62,2025-06-20 10:17:00,389.05,389.3,389.0,389.3,5898
63,2025-06-20 10:18:00,389.3,389.65,389.15,389.6,10337
64,2025-06-20 10:19:00,389.65,389.65,389.25,389.45,2830
65,2025-06-20 10:20:00,389.5,389.65,389.15,389.4,9093
66,2025-06-20 10:21:00,389.5,389.55,389.25,389.5,5078
67,2025-06-20 10:22:00,389.3,389.45,389.0,389.35,11102
68,2025-06-20 10:23:00,389.35,389.9,389.25,389.9,18470
69,2025-06-20 10:24:00,389.9,389.95,389.7,389.9,13140
70,2025-06-20 10:25:00,389.9,390.25,389.9,390.05,26394
71,2025-06-20 10:26:00,390.1,390.25,390.0,390.15,7165
72,2025-06-20 10:27:00,390.15,390.9,390.05,390.5,15934
73,2025-06-20 10:28:00,390.65,390.8,390.45,390.55,7127
74,2025-06-20 10:29:00,390.7,390.85,390.25,390.35,11143
75,2025-06-20 10:30:00,390.35,390.4,390.1,390.35,5326
76,2025-06-20 10:31:00,390.35,390.95,390.35,390.6,21705
77,2025-06-20 10:32:00,390.5,390.9,390.15,390.8,7815
78,2025-06-20 10:33:00,390.95,391.0,390.75,391.0,12701
79,2025-06-20 10:34:00,391.0,391.35,390.75,390.8,6742
80,2025-06-20 10:35:00,390.8,390.95,390.6,390.75,3337
81,2025-06-20 10:36:00,390.75,390.75,390.35,390.5,3641
82,2025-06-20 10:37:00,390.35,390.5,390.1,390.3,6344
83,2025-06-20 10:38:00,390.2,390.35,390.0,390.1,6210
84,2025-06-20 10:39:00,390.25,390.3,389.8,389.95,6084
85,2025-06-20 10:40:00,389.95,390.4,389.95,390.4,6470
86,2025-06-20 10:41:00,390.4,390.75,390.4,390.75,2127
87,2025-06-20 10:42:00,390.75,390.85,390.5,390.5,5882
88,2025-06-20 10:43:00,390.5,390.65,390.4,390.5,4185
89,2025-06-20 10:44:00,390.5,390.55,390.3,390.55,1813
90,2025-06-20 10:45:00,390.35,390.55,390.35,390.5,1941
91,2025-06-20 10:46:00,390.5,391.05,390.5,390.6,56361
92,2025-06-20 10:47:00,390.6,390.85,390.5,390.7,3322
93,2025-06-20 10:48:00,390.7,390.85,390.7,390.75,1319
94,2025-06-20 10:49:00,390.85,390.9,390.7,390.85,1230
95,2025-06-20 10:50:00,390.85,391.3,390.85,391.3,9162
96,2025-06-20 10:51:00,391.15,391.3,390.9,391.3,4833
97,2025-06-20 10:52:00,391.2,391.5,391.1,391.2,12972
98,2025-06-20 10:53:00,391.35,391.35,390.7,391.05,4049
99,2025-06-20 10:54:00,391.05,391.35,391.0,391.35,5573
100,2025-06-20 10:55:00,391.35,391.8,391.2,391.6,9828
101,2025-06-20 10:56:00,391.5,391.5,391.05,391.15,6960
102,2025-06-20 10:57:00,391.15,391.2,390.75,390.95,7028
103,2025-06-20 10:58:00,390.95,391.1,390.7,390.7,3594
104,2025-06-20 10:59:00,390.65,390.7,390.45,390.45,11191
105,2025-06-20 11:00:00,390.45,390.7,390.4,390.65,3055
106,2025-06-20 11:01:00,390.65,390.8,390.2,390.7,6608
107,2025-06-20 11:02:00,390.7,390.7,390.25,390.3,8707
108,2025-06-20 11:03:00,390.3,390.55,390.3,390.5,4717
109,2025-06-20 11:04:00,390.5,390.95,390.4,390.8,6701
110,2025-06-20 11:05:00,390.85,391.0,390.6,390.6,4369
111,2025-06-20 11:06:00,390.8,390.85,389.8,390.15,62333
112,2025-06-20 11:07:00,390.15,390.25,389.95,389.95,39500
113,2025-06-20 11:08:00,389.95,390.0,389.8,390.0,3605
114,2025-06-20 11:09:00,389.85,390.3,389.85,390.15,64360
115,2025-06-20 11:10:00,390.0,390.45,389.8,389.8,77415
116,2025-06-20 11:11:00,389.95,390.0,389.55,389.85,22316
117,2025-06-20 11:12:00,389.85,390.25,389.55,389.85,20425
118,2025-06-20 11:13:00,389.85,390.5,389.8,390.0,64050
119,2025-06-20 11:14:00,389.85,390.25,389.85,389.95,116470
120,2025-06-20 11:15:00,389.95,390.2,389.7,390.0,20442
121,2025-06-20 11:16:00,389.95,390.15,389.7,389.85,35798
122,2025-06-20 11:17:00,389.85,390.05,389.5,389.5,7644
123,2025-06-20 11:18:00,389.5,389.7,389.3,389.6,8535
124,2025-06-20 11:19:00,389.6,389.8,389.55,389.55,4605
125,2025-06-20 11:20:00,389.55,389.75,389.5,389.6,4154
126,2025-06-20 11:21:00,389.55,390.0,389.5,389.55,18848
127,2025-06-20 11:22:00,389.6,389.9,389.6,389.85,4101
128,2025-06-20 11:23:00,389.85,389.95,389.75,389.95,4675
