,Date,Open,High,Low,Close,Volume
0,2025-06-20 09:15:00,835.95,836.6,833.0,833.7,39824
1,2025-06-20 09:16:00,833.3,836.25,833.0,834.4,22002
2,2025-06-20 09:17:00,834.35,836.15,834.35,836.0,17454
3,2025-06-20 09:18:00,835.85,836.0,832.5,832.85,26363
4,2025-06-20 09:19:00,832.85,833.0,831.55,832.15,20830
5,2025-06-20 09:20:00,832.2,832.95,830.5,831.3,123318
6,2025-06-20 09:21:00,831.55,831.7,829.8,830.0,22580
7,2025-06-20 09:22:00,829.8,831.6,829.7,830.6,11084
8,2025-06-20 09:23:00,830.3,831.9,830.0,831.6,12814
9,2025-06-20 09:24:00,831.5,832.75,831.5,832.2,13199
10,2025-06-20 09:25:00,831.95,832.75,830.5,830.5,8936
11,2025-06-20 09:26:00,830.75,830.75,829.0,829.25,20333
12,2025-06-20 09:27:00,829.25,830.4,829.0,830.4,7625
13,2025-06-20 09:28:00,830.3,831.45,830.0,831.0,4165
14,2025-06-20 09:29:00,830.65,831.15,829.8,830.0,10479
15,2025-06-20 09:30:00,829.95,831.95,829.6,831.55,19937
16,2025-06-20 09:31:00,831.25,832.95,831.2,832.5,23361
17,2025-06-20 09:32:00,832.45,833.65,832.05,833.6,23954
18,2025-06-20 09:33:00,833.75,835.0,833.6,834.9,15864
19,2025-06-20 09:34:00,834.9,835.5,834.65,835.2,20965
20,2025-06-20 09:35:00,835.2,835.3,834.0,835.3,16782
21,2025-06-20 09:36:00,835.3,835.3,834.7,834.75,6052
22,2025-06-20 09:37:00,834.8,835.3,834.35,835.15,12762
23,2025-06-20 09:38:00,835.15,836.0,834.85,836.0,6880
24,2025-06-20 09:39:00,836.0,836.0,835.45,835.65,9548
25,2025-06-20 09:40:00,835.65,835.8,835.0,835.1,9547
26,2025-06-20 09:41:00,835.1,836.0,835.1,835.9,6556
27,2025-06-20 09:42:00,836.0,836.05,835.05,835.65,8563
28,2025-06-20 09:43:00,835.6,835.6,834.0,834.3,18017
29,2025-06-20 09:44:00,834.3,834.9,834.05,834.6,5485
30,2025-06-20 09:45:00,834.9,835.5,834.55,834.8,4319
31,2025-06-20 09:46:00,834.75,835.0,834.0,834.65,13505
32,2025-06-20 09:47:00,834.6,835.5,834.1,834.55,11048
33,2025-06-20 09:48:00,834.75,835.7,834.55,835.3,20755
34,2025-06-20 09:49:00,835.45,837.1,835.45,836.3,22147
35,2025-06-20 09:50:00,836.2,836.8,835.85,836.1,7039
36,2025-06-20 09:51:00,836.05,836.45,835.05,836.0,10193
37,2025-06-20 09:52:00,836.05,836.8,835.75,836.65,3261
38,2025-06-20 09:53:00,836.6,836.6,836.0,836.0,7040
39,2025-06-20 09:54:00,836.0,836.15,835.3,835.95,9200
40,2025-06-20 09:55:00,836.0,836.3,835.55,835.95,2922
41,2025-06-20 09:56:00,835.7,835.85,834.8,835.45,5315
42,2025-06-20 09:57:00,835.2,835.7,834.95,835.4,5455
43,2025-06-20 09:58:00,835.3,835.9,835.2,835.9,4528
44,2025-06-20 09:59:00,835.95,836.75,835.7,836.25,5553
45,2025-06-20 10:00:00,836.25,836.5,835.25,835.25,4612
46,2025-06-20 10:01:00,835.2,835.95,835.2,835.2,2549
47,2025-06-20 10:02:00,835.2,835.7,835.0,835.7,5926
48,2025-06-20 10:03:00,835.5,835.7,835.3,835.5,806
49,2025-06-20 10:04:00,835.5,836.0,835.35,836.0,586
50,2025-06-20 10:05:00,835.8,837.85,835.7,837.3,20314
51,2025-06-20 10:06:00,837.25,837.9,837.05,837.15,9291
52,2025-06-20 10:07:00,837.4,837.45,836.0,836.3,5484
53,2025-06-20 10:08:00,836.15,836.7,835.9,836.2,5586
54,2025-06-20 10:09:00,836.25,836.75,836.0,836.0,3816
55,2025-06-20 10:10:00,836.35,836.75,836.0,836.75,2140
56,2025-06-20 10:11:00,836.5,837.35,836.15,836.35,7213
57,2025-06-20 10:12:00,836.85,837.5,836.65,837.15,6464
58,2025-06-20 10:13:00,836.75,837.15,836.35,836.35,3515
59,2025-06-20 10:14:00,836.35,837.25,836.35,836.95,5666
60,2025-06-20 10:15:00,836.95,838.4,836.55,837.7,14269
61,2025-06-20 10:16:00,838.05,838.4,837.75,838.05,5696
62,2025-06-20 10:17:00,838.35,838.9,838.0,838.6,8775
63,2025-06-20 10:18:00,838.6,839.0,837.75,837.95,19166
64,2025-06-20 10:19:00,837.95,838.4,837.7,838.4,6306
65,2025-06-20 10:20:00,838.15,838.65,837.4,837.75,6478
66,2025-06-20 10:21:00,837.75,838.2,837.05,837.6,11835
67,2025-06-20 10:22:00,837.85,838.0,837.35,837.9,5824
68,2025-06-20 10:23:00,837.7,838.25,837.0,837.15,10418
69,2025-06-20 10:24:00,837.3,837.5,837.0,837.5,5444
70,2025-06-20 10:25:00,837.5,838.0,837.5,837.8,5102
71,2025-06-20 10:26:00,838.0,838.7,837.8,838.6,4997
72,2025-06-20 10:27:00,838.6,839.4,838.35,838.95,14523
73,2025-06-20 10:28:00,839.35,839.5,838.7,838.75,7523
74,2025-06-20 10:29:00,839.0,839.0,838.5,838.5,2847
75,2025-06-20 10:30:00,838.5,838.75,838.05,838.6,10907
76,2025-06-20 10:31:00,838.25,839.95,838.25,839.45,28288
77,2025-06-20 10:32:00,839.8,839.95,838.85,839.95,7904
78,2025-06-20 10:33:00,839.9,843.25,839.35,842.95,31229
79,2025-06-20 10:34:00,843.0,843.2,841.1,841.9,30249
80,2025-06-20 10:35:00,841.9,842.25,841.1,841.25,8483
81,2025-06-20 10:36:00,841.35,841.6,840.7,840.8,7522
82,2025-06-20 10:37:00,840.8,840.9,840.05,840.3,5216
83,2025-06-20 10:38:00,840.35,841.0,840.3,840.5,7984
84,2025-06-20 10:39:00,840.5,840.85,840.25,840.65,7778
85,2025-06-20 10:40:00,840.7,841.95,840.5,841.55,7049
86,2025-06-20 10:41:00,841.9,842.2,841.6,841.6,8001
87,2025-06-20 10:42:00,841.8,842.55,841.65,842.05,8048
88,2025-06-20 10:43:00,842.1,843.0,841.95,842.0,9058
89,2025-06-20 10:44:00,841.95,842.35,841.15,841.6,5623
90,2025-06-20 10:45:00,841.4,842.35,841.4,842.35,4396
91,2025-06-20 10:46:00,842.35,842.95,841.95,842.7,3025
92,2025-06-20 10:47:00,842.6,842.95,842.5,842.6,2527
93,2025-06-20 10:48:00,842.6,842.95,842.5,842.9,3133
94,2025-06-20 10:49:00,842.95,843.75,842.7,843.75,11450
95,2025-06-20 10:50:00,843.7,843.7,842.75,842.95,6917
96,2025-06-20 10:51:00,842.8,843.0,842.65,842.9,2556
97,2025-06-20 10:52:00,842.55,842.7,842.15,842.35,5378
98,2025-06-20 10:53:00,842.3,843.5,842.3,843.5,9638
99,2025-06-20 10:54:00,843.25,843.6,842.75,842.75,8470
100,2025-06-20 10:55:00,842.75,843.55,842.75,843.5,2284
101,2025-06-20 10:56:00,843.3,843.45,842.8,843.05,4293
102,2025-06-20 10:57:00,842.85,843.5,842.35,843.0,6553
103,2025-06-20 10:58:00,843.0,843.3,842.8,842.8,3512
104,2025-06-20 10:59:00,842.5,842.8,842.45,842.55,2250
105,2025-06-20 11:00:00,842.55,842.8,842.5,842.8,2702
106,2025-06-20 11:01:00,842.55,842.8,841.55,841.9,6166
107,2025-06-20 11:02:00,842.0,842.3,841.65,841.65,4410
108,2025-06-20 11:03:00,841.75,843.2,841.75,842.9,11277
109,2025-06-20 11:04:00,842.8,843.15,842.6,843.0,7019
110,2025-06-20 11:05:00,843.0,843.4,842.75,843.4,12194
111,2025-06-20 11:06:00,843.2,843.85,843.2,843.65,4386
112,2025-06-20 11:07:00,843.55,843.6,843.05,843.4,3511
113,2025-06-20 11:08:00,843.35,843.45,843.05,843.05,4173
114,2025-06-20 11:09:00,843.3,843.45,843.05,843.45,1580
115,2025-06-20 11:10:00,843.45,843.6,843.35,843.5,3088
116,2025-06-20 11:11:00,843.4,843.4,842.2,842.8,5263
117,2025-06-20 11:12:00,842.8,843.1,842.5,843.0,2463
118,2025-06-20 11:13:00,842.75,843.3,842.65,843.05,3136
119,2025-06-20 11:14:00,843.3,843.85,843.1,843.55,4749
120,2025-06-20 11:15:00,843.55,843.6,843.1,843.2,2880
121,2025-06-20 11:16:00,843.5,843.75,843.15,843.6,1283
122,2025-06-20 11:17:00,843.25,843.55,843.05,843.2,5357
123,2025-06-20 11:18:00,843.5,843.5,843.0,843.25,3201
124,2025-06-20 11:19:00,843.05,843.3,842.8,843.3,1357
125,2025-06-20 11:20:00,843.3,843.3,843.0,843.05,858
126,2025-06-20 11:21:00,843.05,843.8,843.0,843.35,8344
127,2025-06-20 11:22:00,843.75,844.0,843.45,843.8,5079
128,2025-06-20 11:23:00,843.65,843.8,843.05,843.35,11800
129,2025-06-20 11:24:00,843.2,843.4,842.5,842.95,2220
130,2025-06-20 11:25:00,842.65,842.65,841.8,842.05,6725
131,2025-06-20 11:26:00,842.05,842.5,842.05,842.05,5399
132,2025-06-20 11:27:00,842.0,842.5,842.0,842.1,2823
133,2025-06-20 11:28:00,842.35,843.0,842.1,843.0,2812
134,2025-06-20 11:29:00,842.9,843.5,842.75,843.2,5230
135,2025-06-20 11:30:00,843.15,843.8,842.6,843.35,23516
136,2025-06-20 11:31:00,843.55,843.75,843.0,843.0,6169
137,2025-06-20 11:32:00,842.85,842.95,842.5,842.7,2603
138,2025-06-20 11:33:00,842.5,842.7,842.25,842.4,1027
139,2025-06-20 11:34:00,842.4,842.7,842.25,842.4,2262
140,2025-06-20 11:35:00,842.4,842.75,842.1,842.4,3046
141,2025-06-20 11:36:00,842.4,842.65,842.2,842.2,1514
142,2025-06-20 11:37:00,842.2,842.7,842.1,842.25,1452
143,2025-06-20 11:38:00,842.4,842.4,842.1,842.2,2267
144,2025-06-20 11:39:00,842.1,842.7,842.1,842.5,3059
145,2025-06-20 11:40:00,842.65,843.5,842.55,843.2,2435
146,2025-06-20 11:41:00,843.3,843.5,842.75,842.75,4869
147,2025-06-20 11:42:00,842.75,842.85,842.4,842.4,3614
148,2025-06-20 11:43:00,842.45,842.45,842.0,842.05,4590
149,2025-06-20 11:44:00,842.1,842.25,841.5,841.9,9229
150,2025-06-20 11:45:00,841.85,842.45,841.85,842.2,4084
151,2025-06-20 11:46:00,842.2,843.0,842.0,843.0,1849
152,2025-06-20 11:47:00,842.85,843.4,842.75,843.2,2874
