,Date,Open,High,Low,Close,Volume
0,2025-06-20 09:15:00,330.05,331.8,329.75,331.35,86438
1,2025-06-20 09:16:00,331.35,331.4,330.8,331.2,18390
2,2025-06-20 09:17:00,331.2,331.55,331.15,331.4,20438
3,2025-06-20 09:18:00,331.4,332.2,331.35,331.8,66871
4,2025-06-20 09:19:00,331.8,331.8,330.9,331.05,33105
5,2025-06-20 09:20:00,331.05,331.35,330.75,331.0,35667
6,2025-06-20 09:21:00,330.85,331.0,330.25,330.35,11842
7,2025-06-20 09:22:00,330.35,330.5,329.7,329.85,27018
8,2025-06-20 09:23:00,329.85,330.35,329.75,330.2,22659
9,2025-06-20 09:24:00,330.25,330.6,330.2,330.5,11249
10,2025-06-20 09:25:00,330.5,330.8,330.5,330.5,17309
11,2025-06-20 09:26:00,330.5,330.75,330.35,330.5,12756
12,2025-06-20 09:27:00,330.5,330.65,330.35,330.5,19461
13,2025-06-20 09:28:00,330.6,330.7,330.35,330.6,14726
14,2025-06-20 09:29:00,330.6,330.7,330.35,330.55,16232
15,2025-06-20 09:30:00,330.45,330.8,330.35,330.35,13040
16,2025-06-20 09:31:00,330.35,330.55,330.25,330.3,6429
17,2025-06-20 09:32:00,330.25,330.4,329.85,330.0,22730
18,2025-06-20 09:33:00,329.85,330.0,329.7,329.85,4005
19,2025-06-20 09:34:00,329.85,330.3,329.85,330.1,13889
20,2025-06-20 09:35:00,330.1,330.2,329.8,330.1,14528
21,2025-06-20 09:36:00,330.2,330.2,329.8,329.9,33794
22,2025-06-20 09:37:00,329.9,330.15,329.8,330.15,6718
23,2025-06-20 09:38:00,330.2,330.35,330.1,330.3,4420
24,2025-06-20 09:39:00,330.35,330.45,330.25,330.35,8762
25,2025-06-20 09:40:00,330.45,330.45,330.15,330.15,12932
26,2025-06-20 09:41:00,330.25,330.5,330.15,330.2,4377
27,2025-06-20 09:42:00,330.3,330.65,330.2,330.35,20253
28,2025-06-20 09:43:00,330.45,330.7,330.4,330.7,9866
29,2025-06-20 09:44:00,330.7,330.75,330.5,330.65,6856
30,2025-06-20 09:45:00,330.65,330.9,330.6,330.9,12921
31,2025-06-20 09:46:00,330.9,331.15,330.7,331.0,17169
32,2025-06-20 09:47:00,331.0,331.45,330.85,331.25,20882
33,2025-06-20 09:48:00,331.35,331.35,331.0,331.1,8930
34,2025-06-20 09:49:00,331.15,331.3,331.0,331.15,7058
35,2025-06-20 09:50:00,331.15,331.25,331.0,331.1,12520
36,2025-06-20 09:51:00,331.2,331.2,330.95,331.0,6143
37,2025-06-20 09:52:00,331.0,331.1,330.8,331.0,8928
38,2025-06-20 09:53:00,330.85,331.0,330.7,330.7,1158
39,2025-06-20 09:54:00,330.7,330.8,330.55,330.7,4966
40,2025-06-20 09:55:00,330.7,330.75,330.5,330.5,2722
41,2025-06-20 09:56:00,330.5,330.5,330.1,330.1,19821
42,2025-06-20 09:57:00,330.15,330.25,329.9,330.05,10882
43,2025-06-20 09:58:00,330.0,330.35,329.85,330.2,7310
44,2025-06-20 09:59:00,330.35,330.5,330.15,330.45,12489
45,2025-06-20 10:00:00,330.4,330.6,330.2,330.35,8108
46,2025-06-20 10:01:00,330.25,330.55,330.25,330.4,2240
47,2025-06-20 10:02:00,330.3,330.45,330.15,330.45,5547
48,2025-06-20 10:03:00,330.45,330.5,330.3,330.45,3272
49,2025-06-20 10:04:00,330.5,330.65,329.85,330.35,4568300
50,2025-06-20 10:05:00,330.4,331.95,330.4,331.1,288551
51,2025-06-20 10:06:00,331.1,331.1,330.7,330.7,11650
52,2025-06-20 10:07:00,330.7,330.85,330.4,330.5,16178
53,2025-06-20 10:08:00,330.5,330.7,330.4,330.6,13873
54,2025-06-20 10:09:00,330.6,330.7,330.6,330.65,3438
55,2025-06-20 10:10:00,330.65,330.75,330.5,330.7,15344
56,2025-06-20 10:11:00,330.7,331.1,330.6,331.1,9102
57,2025-06-20 10:12:00,331.1,331.2,330.95,331.05,11194
58,2025-06-20 10:13:00,331.0,331.25,330.9,330.95,11703
59,2025-06-20 10:14:00,331.0,331.15,330.95,331.05,3812
60,2025-06-20 10:15:00,331.1,331.7,331.0,331.55,32992
61,2025-06-20 10:16:00,331.6,331.75,331.45,331.45,14186
62,2025-06-20 10:17:00,331.5,331.75,331.45,331.55,6536
63,2025-06-20 10:18:00,331.65,331.9,331.55,331.85,14881
64,2025-06-20 10:19:00,331.75,331.95,331.7,331.85,9554
65,2025-06-20 10:20:00,331.9,332.35,331.9,332.05,28873
66,2025-06-20 10:21:00,332.15,332.25,332.0,332.15,25646
67,2025-06-20 10:22:00,332.1,332.5,332.1,332.45,16408
68,2025-06-20 10:23:00,332.45,332.5,332.25,332.25,9946
69,2025-06-20 10:24:00,332.25,332.4,332.25,332.3,8177
70,2025-06-20 10:25:00,332.3,332.4,332.1,332.3,10899
71,2025-06-20 10:26:00,332.35,332.45,332.2,332.4,6013
72,2025-06-20 10:27:00,332.5,332.8,332.5,332.7,17157
73,2025-06-20 10:28:00,332.8,332.8,332.45,332.75,24503
74,2025-06-20 10:29:00,332.8,333.3,332.75,332.95,46444
75,2025-06-20 10:30:00,332.95,333.4,332.95,333.4,29333
76,2025-06-20 10:31:00,333.4,333.45,333.2,333.3,14910
