,Date,Open,High,Low,Close,Volume
0,2025-06-20 09:15:00,252.26,252.45,251.0,251.36,132603
1,2025-06-20 09:16:00,251.25,251.38,250.7,250.88,82105
2,2025-06-20 09:17:00,250.99,251.4,250.89,251.38,126401
3,2025-06-20 09:18:00,251.26,251.4,250.99,251.11,55725
4,2025-06-20 09:19:00,251.15,251.23,250.13,250.37,108297
5,2025-06-20 09:20:00,250.3,250.74,250.3,250.5,12268
6,2025-06-20 09:21:00,250.55,250.61,250.1,250.22,80175
7,2025-06-20 09:22:00,250.29,250.43,249.81,249.99,59075
8,2025-06-20 09:23:00,249.99,250.02,249.35,249.53,105236
9,2025-06-20 09:24:00,249.51,250.01,249.5,249.92,50835
10,2025-06-20 09:25:00,249.87,250.4,249.86,250.18,56123
11,2025-06-20 09:26:00,250.18,250.31,250.04,250.1,15423
12,2025-06-20 09:27:00,250.1,250.59,250.1,250.45,37923
13,2025-06-20 09:28:00,250.47,250.75,250.45,250.56,59108
14,2025-06-20 09:29:00,250.6,250.68,250.15,250.15,22287
15,2025-06-20 09:30:00,250.26,250.68,250.21,250.34,27745
16,2025-06-20 09:31:00,250.34,250.45,250.1,250.34,24714
17,2025-06-20 09:32:00,250.39,250.54,250.14,250.26,32404
18,2025-06-20 09:33:00,250.26,250.42,250.1,250.2,12152
19,2025-06-20 09:34:00,250.2,250.48,250.1,250.39,24315
20,2025-06-20 09:35:00,250.44,250.44,250.1,250.36,7350
21,2025-06-20 09:36:00,250.25,250.35,250.01,250.01,13513
22,2025-06-20 09:37:00,250.1,250.41,250.01,250.34,22313
23,2025-06-20 09:38:00,250.34,250.37,250.18,250.35,11921
24,2025-06-20 09:39:00,250.35,250.49,250.24,250.34,6907
25,2025-06-20 09:40:00,250.4,250.5,250.12,250.42,34480
26,2025-06-20 09:41:00,250.42,250.72,250.42,250.6,25798
27,2025-06-20 09:42:00,250.6,250.89,250.51,250.7,21348
28,2025-06-20 09:43:00,250.73,250.87,250.65,250.76,17810
29,2025-06-20 09:44:00,250.76,251.29,250.71,251.2,34619
30,2025-06-20 09:45:00,251.2,251.43,251.17,251.33,22556
31,2025-06-20 09:46:00,251.23,251.8,251.16,251.58,43223
32,2025-06-20 09:47:00,251.63,251.94,251.5,251.71,61646
33,2025-06-20 09:48:00,251.71,251.74,251.36,251.57,57666
34,2025-06-20 09:49:00,251.49,251.63,251.38,251.49,24582
35,2025-06-20 09:50:00,251.48,251.59,251.3,251.38,16476
36,2025-06-20 09:51:00,251.31,251.4,250.98,251.13,13936
37,2025-06-20 09:52:00,251.04,251.3,250.98,251.0,47963
38,2025-06-20 09:53:00,251.0,251.05,250.83,250.9,16753
39,2025-06-20 09:54:00,250.9,251.0,250.83,250.98,9739
40,2025-06-20 09:55:00,250.96,251.29,250.93,251.17,30191
41,2025-06-20 09:56:00,251.11,251.11,250.63,250.66,31995
42,2025-06-20 09:57:00,250.73,250.73,250.41,250.45,23865
43,2025-06-20 09:58:00,250.45,250.66,250.41,250.55,11660
44,2025-06-20 09:59:00,250.58,250.94,250.57,250.87,22078
45,2025-06-20 10:00:00,250.87,251.22,250.81,251.0,18063
46,2025-06-20 10:01:00,251.0,251.16,250.95,250.95,5163
47,2025-06-20 10:02:00,251.03,251.15,250.9,251.15,13241
48,2025-06-20 10:03:00,251.09,251.43,251.02,251.3,10736
49,2025-06-20 10:04:00,251.4,251.49,251.14,251.25,16137
50,2025-06-20 10:05:00,251.24,251.4,251.07,251.1,10264
51,2025-06-20 10:06:00,251.15,251.24,251.07,251.07,1859
52,2025-06-20 10:07:00,251.08,251.08,250.61,250.7,8094
53,2025-06-20 10:08:00,250.72,250.98,250.51,250.77,5484
54,2025-06-20 10:09:00,250.89,250.98,250.71,250.86,3787
55,2025-06-20 10:10:00,250.86,250.88,250.7,250.76,4267
56,2025-06-20 10:11:00,250.74,251.13,250.72,251.13,11679
57,2025-06-20 10:12:00,251.12,251.45,251.04,251.4,13074
58,2025-06-20 10:13:00,251.42,251.42,251.15,251.3,7919
59,2025-06-20 10:14:00,251.26,251.49,251.2,251.49,16030
60,2025-06-20 10:15:00,251.49,251.73,251.41,251.66,47353
61,2025-06-20 10:16:00,251.66,251.78,251.21,251.3,23566
62,2025-06-20 10:17:00,251.32,251.65,251.28,251.48,8933
63,2025-06-20 10:18:00,251.48,251.75,251.48,251.69,12461
64,2025-06-20 10:19:00,251.66,251.74,251.43,251.43,31318
65,2025-06-20 10:20:00,251.49,251.79,251.49,251.69,13622
66,2025-06-20 10:21:00,251.7,251.71,251.55,251.6,7923
67,2025-06-20 10:22:00,251.65,251.75,251.5,251.75,9492
68,2025-06-20 10:23:00,251.75,251.75,251.66,251.7,3772
69,2025-06-20 10:24:00,251.7,251.91,251.7,251.81,38146
70,2025-06-20 10:25:00,251.78,251.85,251.71,251.71,8427
71,2025-06-20 10:26:00,251.66,251.93,251.61,251.8,21114
72,2025-06-20 10:27:00,251.87,252.2,251.86,252.0,66528
73,2025-06-20 10:28:00,252.08,252.08,251.86,251.91,32656
74,2025-06-20 10:29:00,251.95,251.95,251.76,251.79,5397
75,2025-06-20 10:30:00,251.8,251.9,251.61,251.8,10213
76,2025-06-20 10:31:00,251.69,252.04,251.69,251.85,15198
77,2025-06-20 10:32:00,251.8,251.88,251.63,251.85,7660
78,2025-06-20 10:33:00,251.88,252.02,251.86,252.0,10174
79,2025-06-20 10:34:00,252.0,252.1,251.9,251.91,8760
80,2025-06-20 10:35:00,251.91,251.95,251.64,251.75,21233
81,2025-06-20 10:36:00,251.75,251.8,251.66,251.73,5122
82,2025-06-20 10:37:00,251.66,251.73,251.61,251.61,4655
83,2025-06-20 10:38:00,251.65,251.65,251.4,251.43,15961
84,2025-06-20 10:39:00,251.4,251.45,251.31,251.42,19482
85,2025-06-20 10:40:00,251.42,251.61,251.4,251.54,7483
86,2025-06-20 10:41:00,251.61,251.7,251.56,251.67,9298
87,2025-06-20 10:42:00,251.68,251.71,251.5,251.57,9927
88,2025-06-20 10:43:00,251.51,251.65,251.51,251.54,7853
89,2025-06-20 10:44:00,251.56,251.65,251.51,251.56,10807
