,Date,Open,High,Low,Close,Volume
0,2025-06-20 09:15:00,150.75,151.74,150.7,151.74,182879
1,2025-06-20 09:16:00,151.71,151.71,151.34,151.5,135419
2,2025-06-20 09:17:00,151.57,151.71,151.49,151.63,62004
3,2025-06-20 09:18:00,151.64,151.77,151.6,151.67,46287
4,2025-06-20 09:19:00,151.66,151.69,151.21,151.29,83281
5,2025-06-20 09:20:00,151.25,151.4,151.1,151.16,101261
6,2025-06-20 09:21:00,151.09,151.26,151.05,151.09,37783
7,2025-06-20 09:22:00,151.09,151.17,150.9,150.98,81137
8,2025-06-20 09:23:00,150.99,151.08,150.81,150.99,34533
9,2025-06-20 09:24:00,150.99,151.15,150.93,151.14,29645
10,2025-06-20 09:25:00,151.13,151.19,150.86,150.98,56267
11,2025-06-20 09:26:00,150.98,151.08,150.85,150.98,44299
12,2025-06-20 09:27:00,150.98,151.18,150.92,151.12,17070
13,2025-06-20 09:28:00,151.14,151.36,151.06,151.26,57460
14,2025-06-20 09:29:00,151.22,151.33,151.07,151.08,30544
15,2025-06-20 09:30:00,151.13,151.38,151.13,151.25,26390
16,2025-06-20 09:31:00,151.25,151.3,151.03,151.14,27018
17,2025-06-20 09:32:00,151.17,151.24,151.02,151.02,22883
18,2025-06-20 09:33:00,151.03,151.1,151.0,151.02,23316
19,2025-06-20 09:34:00,151.07,151.12,150.95,151.1,56878
20,2025-06-20 09:35:00,151.08,151.27,151.0,151.2,52725
21,2025-06-20 09:36:00,151.2,151.33,151.14,151.19,36826
22,2025-06-20 09:37:00,151.14,151.26,151.11,151.15,9961
23,2025-06-20 09:38:00,151.15,151.26,151.15,151.24,23057
24,2025-06-20 09:39:00,151.2,151.26,151.12,151.13,12703
25,2025-06-20 09:40:00,151.17,151.18,151.04,151.1,32817
26,2025-06-20 09:41:00,151.05,151.16,151.04,151.16,11749
27,2025-06-20 09:42:00,151.16,151.3,151.12,151.3,20508
28,2025-06-20 09:43:00,151.27,151.39,151.27,151.38,28229
29,2025-06-20 09:44:00,151.37,151.42,151.31,151.4,26988
30,2025-06-20 09:45:00,151.41,151.47,151.37,151.45,31980
31,2025-06-20 09:46:00,151.42,151.64,151.41,151.55,74000
32,2025-06-20 09:47:00,151.55,151.64,151.51,151.62,10027
33,2025-06-20 09:48:00,151.62,151.64,151.56,151.62,20854
34,2025-06-20 09:49:00,151.57,151.62,151.44,151.44,28193
35,2025-06-20 09:50:00,151.41,151.49,151.33,151.39,23672
36,2025-06-20 09:51:00,151.36,151.4,151.15,151.15,17406
37,2025-06-20 09:52:00,151.21,151.21,151.1,151.2,20066
38,2025-06-20 09:53:00,151.15,151.2,151.01,151.03,35563
39,2025-06-20 09:54:00,151.05,151.06,151.0,151.05,16610
40,2025-06-20 09:55:00,151.05,151.05,150.92,150.92,46049
41,2025-06-20 09:56:00,150.96,150.96,150.63,150.71,71238
42,2025-06-20 09:57:00,150.7,150.82,150.69,150.78,26368
43,2025-06-20 09:58:00,150.78,150.87,150.71,150.85,45800
44,2025-06-20 09:59:00,150.9,150.92,150.83,150.9,24339
45,2025-06-20 10:00:00,150.9,150.96,150.85,150.86,30084
46,2025-06-20 10:01:00,150.89,150.96,150.86,150.93,15496
47,2025-06-20 10:02:00,150.9,150.92,150.8,150.81,25798
48,2025-06-20 10:03:00,150.85,150.95,150.8,150.91,15630
49,2025-06-20 10:04:00,150.91,150.99,150.85,150.96,13092
50,2025-06-20 10:05:00,150.97,151.1,150.92,151.06,24096
51,2025-06-20 10:06:00,151.01,151.13,151.01,151.06,14809
52,2025-06-20 10:07:00,151.08,151.09,151.0,151.02,23943
53,2025-06-20 10:08:00,151.02,151.06,150.93,151.06,21695
54,2025-06-20 10:09:00,151.0,151.06,151.0,151.06,25051
55,2025-06-20 10:10:00,151.06,151.07,151.0,151.03,14244
56,2025-06-20 10:11:00,151.02,151.1,150.94,151.07,18938
57,2025-06-20 10:12:00,151.1,151.29,151.1,151.29,26894
58,2025-06-20 10:13:00,151.29,151.29,151.25,151.27,3125
59,2025-06-20 10:14:00,151.25,151.29,151.21,151.23,11977
60,2025-06-20 10:15:00,151.22,151.51,151.22,151.5,74387
61,2025-06-20 10:16:00,151.5,151.63,151.33,151.4,48810
62,2025-06-20 10:17:00,151.4,151.55,151.35,151.53,28404
63,2025-06-20 10:18:00,151.53,151.63,151.51,151.6,15820
64,2025-06-20 10:19:00,151.6,151.61,151.55,151.56,28962
65,2025-06-20 10:20:00,151.58,151.75,151.56,151.73,72841
66,2025-06-20 10:21:00,151.74,151.9,151.69,151.84,91520
67,2025-06-20 10:22:00,151.79,151.85,151.65,151.72,32296
68,2025-06-20 10:23:00,151.75,151.81,151.72,151.8,19403
69,2025-06-20 10:24:00,151.81,151.94,151.8,151.86,58632
70,2025-06-20 10:25:00,151.87,152.1,151.86,152.01,126334
71,2025-06-20 10:26:00,152.05,152.19,152.01,152.19,58229
72,2025-06-20 10:27:00,152.15,152.28,152.11,152.18,58812
73,2025-06-20 10:28:00,152.18,152.25,152.02,152.03,35386
74,2025-06-20 10:29:00,152.03,152.1,151.98,152.0,51336
75,2025-06-20 10:30:00,152.01,152.29,151.97,152.29,102648
76,2025-06-20 10:31:00,152.29,152.47,152.29,152.39,58935
77,2025-06-20 10:32:00,152.38,152.49,152.25,152.46,59701
