,Date,Open,High,Low,Close,Volume
0,2025-06-20 09:15:00,628.4,632.7,628.4,631.05,13497
1,2025-06-20 09:16:00,631.25,632.3,631.05,631.25,7394
2,2025-06-20 09:17:00,631.45,631.9,630.4,630.6,15082
3,2025-06-20 09:18:00,630.65,630.65,629.45,630.3,8639
4,2025-06-20 09:19:00,630.0,630.3,628.5,628.8,5885
5,2025-06-20 09:20:00,628.55,628.7,627.1,627.25,16451
6,2025-06-20 09:21:00,627.5,628.05,627.0,627.35,12079
7,2025-06-20 09:22:00,627.25,627.6,626.45,626.45,10465
8,2025-06-20 09:23:00,626.5,627.5,626.35,627.3,1152
9,2025-06-20 09:24:00,627.3,628.95,627.3,628.35,4428
10,2025-06-20 09:25:00,628.45,629.45,628.45,628.95,7805
11,2025-06-20 09:26:00,628.75,629.95,628.75,628.75,3532
12,2025-06-20 09:27:00,628.5,630.7,628.45,630.65,3260
13,2025-06-20 09:28:00,630.35,630.85,629.5,629.5,3466
14,2025-06-20 09:29:00,629.4,630.4,629.1,629.85,2694
15,2025-06-20 09:30:00,630.05,630.5,630.05,630.15,697
16,2025-06-20 09:31:00,630.05,630.65,630.0,630.45,287
17,2025-06-20 09:32:00,630.35,630.35,629.1,629.45,3021
18,2025-06-20 09:33:00,629.65,629.95,629.0,629.5,3827
19,2025-06-20 09:34:00,629.4,629.7,629.4,629.4,956
20,2025-06-20 09:35:00,629.4,629.7,629.0,629.7,767
21,2025-06-20 09:36:00,629.8,630.0,629.45,629.5,17877
22,2025-06-20 09:37:00,629.6,629.8,629.1,629.1,1229
23,2025-06-20 09:38:00,629.35,629.65,629.2,629.5,4211
24,2025-06-20 09:39:00,629.5,629.9,629.45,629.6,1700
25,2025-06-20 09:40:00,629.55,630.8,629.55,630.0,40500
26,2025-06-20 09:41:00,630.1,630.6,629.4,630.0,29916
27,2025-06-20 09:42:00,629.95,630.0,629.7,629.8,18352
28,2025-06-20 09:43:00,629.75,630.0,629.5,629.7,10972
29,2025-06-20 09:44:00,629.7,631.35,629.7,631.35,69673
30,2025-06-20 09:45:00,631.4,631.45,630.0,631.25,29084
31,2025-06-20 09:46:00,631.25,631.8,631.05,631.8,5992
32,2025-06-20 09:47:00,631.75,632.5,631.4,632.3,6429
33,2025-06-20 09:48:00,632.3,633.25,632.05,632.6,19048
34,2025-06-20 09:49:00,632.2,632.35,631.7,631.95,2605
35,2025-06-20 09:50:00,631.85,631.9,631.6,631.7,1156
36,2025-06-20 09:51:00,631.6,631.7,630.05,630.3,3541
37,2025-06-20 09:52:00,630.05,630.45,629.4,630.25,4148
38,2025-06-20 09:53:00,630.0,630.35,629.75,630.3,2501
39,2025-06-20 09:54:00,630.1,630.8,629.65,630.55,5040
40,2025-06-20 09:55:00,630.8,630.85,630.2,630.7,984
41,2025-06-20 09:56:00,630.2,630.25,629.4,629.85,1960
42,2025-06-20 09:57:00,630.1,630.15,628.35,628.8,10295
43,2025-06-20 09:58:00,628.55,629.35,628.05,629.1,9298
44,2025-06-20 09:59:00,629.35,629.45,629.05,629.25,1084
45,2025-06-20 10:00:00,629.05,629.3,628.75,628.95,1662
46,2025-06-20 10:01:00,628.75,629.3,628.75,629.25,939
47,2025-06-20 10:02:00,629.1,629.25,628.5,629.25,4685
48,2025-06-20 10:03:00,629.15,630.0,629.05,629.6,7430
49,2025-06-20 10:04:00,629.8,630.0,629.6,629.9,1549
50,2025-06-20 10:05:00,629.9,630.25,629.9,630.2,1290
51,2025-06-20 10:06:00,629.9,630.45,629.9,630.2,5543
52,2025-06-20 10:07:00,630.2,630.2,629.6,629.6,1591
53,2025-06-20 10:08:00,629.85,629.9,628.85,629.8,6703
54,2025-06-20 10:09:00,629.8,629.8,629.55,629.8,814
55,2025-06-20 10:10:00,629.55,629.8,628.8,629.4,2211
56,2025-06-20 10:11:00,629.15,629.55,629.15,629.45,1733
57,2025-06-20 10:12:00,629.5,630.0,629.5,630.0,2261
58,2025-06-20 10:13:00,630.25,630.5,629.95,630.5,724
59,2025-06-20 10:14:00,630.45,630.8,630.35,630.8,2549
60,2025-06-20 10:15:00,630.8,631.35,630.45,631.35,3840
61,2025-06-20 10:16:00,631.5,631.9,631.2,631.35,6014
62,2025-06-20 10:17:00,631.3,632.0,631.3,632.0,1530
63,2025-06-20 10:18:00,632.0,632.35,631.6,631.95,1562
64,2025-06-20 10:19:00,632.05,632.3,631.95,632.25,4218
65,2025-06-20 10:20:00,632.05,632.4,632.0,632.0,1430
66,2025-06-20 10:21:00,632.25,632.35,632.05,632.35,731
67,2025-06-20 10:22:00,632.1,632.35,632.05,632.3,1758
68,2025-06-20 10:23:00,632.3,632.4,632.1,632.15,1260
69,2025-06-20 10:24:00,632.35,632.95,632.15,632.8,3723
70,2025-06-20 10:25:00,632.8,633.7,632.65,633.5,2314
71,2025-06-20 10:26:00,633.5,633.8,633.15,633.4,2857
72,2025-06-20 10:27:00,633.4,633.9,633.25,633.55,3968
73,2025-06-20 10:28:00,633.3,633.85,633.2,633.55,5047
74,2025-06-20 10:29:00,633.55,633.9,633.1,633.55,3617
75,2025-06-20 10:30:00,633.55,633.95,633.35,633.95,2729
76,2025-06-20 10:31:00,634.0,635.0,633.9,634.3,11335
77,2025-06-20 10:32:00,634.6,634.8,634.35,634.7,1237
78,2025-06-20 10:33:00,634.7,634.85,634.5,634.8,989
79,2025-06-20 10:34:00,634.8,634.85,634.05,634.45,2234
80,2025-06-20 10:35:00,634.15,634.45,633.95,634.2,691
81,2025-06-20 10:36:00,633.85,634.15,633.05,633.05,10773
82,2025-06-20 10:37:00,633.25,633.8,633.05,633.6,4934
83,2025-06-20 10:38:00,633.55,633.55,633.05,633.05,1841
84,2025-06-20 10:39:00,633.4,633.95,633.0,633.85,5500
85,2025-06-20 10:40:00,633.65,634.05,633.35,633.65,1294
86,2025-06-20 10:41:00,633.9,633.95,633.7,633.85,989
87,2025-06-20 10:42:00,633.7,633.85,633.5,633.65,675
88,2025-06-20 10:43:00,633.65,633.85,633.35,633.8,1401
