Entry Time,Entry Price,Exit Time,Exit Price,PnL
2025-06-17 12:15:54.000000,795.0,2025-06-17 12:16:04.000000,795.05,0.05
Entry Time,Entry Price,Exit Time,Exit Price,PnL
2025-06-17 12:17:06.000000,795.0,2025-06-17 12:17:11.000000,794.9,-0.1
2025-06-17 12:17:17.000000,795.0,2025-06-17 12:17:17.000000,794.9,-0.1
2025-06-17 12:17:59.000000,794.95,2025-06-17 12:18:00.000000,794.85,-0.1
2025-06-17 12:18:06.000000,794.95,2025-06-17 12:18:09.000000,794.9,-0.05
2025-06-17 12:18:46.000000,795.1,2025-06-17 12:18:48.000000,794.8,-0.3
2025-06-17 12:18:57.000000,794.7,2025-06-17 12:18:57.000000,794.65,-0.05
2025-06-17 12:18:58.000000,794.65,2025-06-17 12:19:00.000000,794.5,-0.15
2025-06-17 12:19:31.000000,794.4,2025-06-17 12:19:32.000000,794.25,-0.15
2025-06-17 12:19:34.000000,794.4,2025-06-17 12:19:36.000000,794.25,-0.15
2025-06-17 12:19:38.000000,794.55,2025-06-17 12:19:39.000000,794.25,-0.3
2025-06-17 12:19:42.000000,794.4,2025-06-17 12:19:42.000000,794.3,-0.1
2025-06-17 12:19:43.000000,794.4,2025-06-17 12:19:45.000000,794.25,-0.15
2025-06-17 12:19:49.000000,794.4,2025-06-17 12:19:51.000000,794.25,-0.15
2025-06-17 12:19:54.000000,794.4,2025-06-17 12:19:59.000000,794.4,0.0
2025-06-17 12:20:07.000000,794.4,2025-06-17 12:20:11.000000,794.25,-0.15
2025-06-17 12:20:16.000000,794.4,2025-06-17 12:20:21.000000,794.25,-0.15
Entry Time,Entry Price,Exit Time,Exit Price,PnL
2025-06-17 12:21:10.000000,794.5,2025-06-17 12:21:13.000000,794.3,-0.2
2025-06-17 12:21:35.000000,794.45,2025-06-17 12:21:37.000000,794.25,-0.2
2025-06-17 12:21:38.000000,794.35,2025-06-17 12:21:49.000000,794.0,-0.35
2025-06-17 12:21:51.000000,794.25,2025-06-17 12:21:51.000000,794.0,-0.25
2025-06-17 12:21:52.000000,794.2,2025-06-17 12:21:54.000000,794.0,-0.2
2025-06-17 12:22:02.000000,794.0,2025-06-17 12:22:08.000000,793.8,-0.2
2025-06-17 12:22:11.000000,793.75,2025-06-17 12:23:48.000000,794.15,0.4
2025-06-17 12:24:03.000000,794.15,2025-06-17 12:24:15.000000,793.8,-0.35
2025-06-17 12:24:22.000000,793.65,2025-06-17 12:25:02.000000,793.05,-0.6
2025-06-17 12:25:03.000000,793.0,2025-06-17 12:25:46.000000,793.5,0.5
2025-06-17 12:26:14.000000,793.45,2025-06-17 12:27:28.000000,793.2,-0.25
2025-06-17 12:27:31.000000,793.1,2025-06-17 12:28:10.000000,793.45,0.35
2025-06-17 12:28:27.000000,793.0,2025-06-17 12:30:41.000000,793.5,0.5
2025-06-17 12:30:55.000000,793.5,2025-06-17 12:31:02.000000,793.05,-0.45
2025-06-17 12:31:17.000000,793.3,2025-06-17 12:31:47.000000,793.85,0.55
2025-06-17 12:32:04.000000,793.6,2025-06-17 12:32:31.000000,793.25,-0.35
2025-06-17 12:32:31.000000,793.3,2025-06-17 12:32:46.000000,793.7,0.4
2025-06-17 12:32:56.000000,793.65,2025-06-17 12:33:01.000000,793.35,-0.3
2025-06-17 12:33:16.000000,793.7,2025-06-17 12:33:37.000000,793.5,-0.2
2025-06-17 12:33:37.000000,793.5,2025-06-17 12:34:03.000000,793.3,-0.2
2025-06-17 12:34:04.000000,793.3,2025-06-17 12:36:27.000000,793.05,-0.25
2025-06-17 12:37:05.000000,793.15,2025-06-17 12:37:28.000000,792.9,-0.25
2025-06-17 12:37:33.000000,793.0,2025-06-17 12:41:04.000000,792.8,-0.2
Entry Time,Entry Price,Exit Time,Exit Price,PnL
2025-06-17 12:41:58.000000,792.75,2025-06-17 12:42:45.000000,793.3,0.55
2025-06-17 12:42:58.000000,793.2,2025-06-17 12:43:20.000000,793.5,0.3
2025-06-17 12:43:21.000000,793.45,2025-06-17 12:43:30.000000,793.2,-0.25
2025-06-17 12:43:43.000000,792.65,2025-06-17 12:43:46.000000,793.0,0.35
2025-06-17 12:43:46.000000,792.55,2025-06-17 12:43:56.000000,793.0,0.45
2025-06-17 12:44:05.000000,792.95,2025-06-17 12:44:05.000000,792.75,-0.2
2025-06-17 12:44:06.000000,792.75,2025-06-17 12:44:48.000000,792.3,-0.45
2025-06-17 12:45:01.000000,792.2,2025-06-17 12:45:21.000000,792.0,-0.2
2025-06-17 12:45:21.000000,792.05,2025-06-17 12:45:28.000000,792.4,0.35
2025-06-17 12:45:46.000000,792.5,2025-06-17 12:45:47.000000,792.3,-0.2
2025-06-17 12:45:48.000000,792.3,2025-06-17 12:46:05.000000,792.7,0.4
2025-06-17 12:46:05.000000,792.7,2025-06-17 12:46:13.000000,792.35,-0.35
2025-06-17 12:46:15.000000,792.55,2025-06-17 12:46:43.000000,792.85,0.3
2025-06-17 12:46:49.000000,792.8,2025-06-17 12:46:55.000000,792.5,-0.3
2025-06-17 12:46:57.000000,792.5,2025-06-17 12:47:04.000000,792.8,0.3
2025-06-17 12:47:21.000000,792.7,2025-06-17 12:47:22.000000,792.5,-0.2
2025-06-17 12:47:28.000000,792.65,2025-06-17 12:49:03.000000,793.0,0.35
2025-06-17 12:49:10.000000,793.0,2025-06-17 12:49:13.000000,792.5,-0.5
2025-06-17 12:49:14.000000,792.45,2025-06-17 12:49:15.000000,792.25,-0.2
2025-06-17 12:49:15.000000,792.25,2025-06-17 12:49:50.000000,792.6,0.35
2025-06-17 12:49:59.000000,792.75,2025-06-17 12:50:11.000000,792.5,-0.25
2025-06-17 12:50:12.000000,792.5,2025-06-17 12:50:15.000000,792.25,-0.25
2025-06-17 12:50:15.000000,792.25,2025-06-17 12:51:04.000000,792.05,-0.2
2025-06-17 12:51:04.000000,792.05,2025-06-17 12:51:09.000000,791.75,-0.3
2025-06-17 12:51:36.000000,791.6,2025-06-17 12:51:38.000000,791.9,0.3
2025-06-17 12:51:38.000000,791.9,2025-06-17 12:51:39.000000,791.45,-0.45
2025-06-17 12:51:40.000000,791.5,2025-06-17 12:51:45.000000,791.3,-0.2
2025-06-17 12:51:46.000000,791.2,2025-06-17 12:51:46.000000,791.5,0.3
